Campaign name,Campaign start date,Campaign end date,Campaign notes,Campaign audience,Campaign budget total,Currency code,Campaign color
Q2 Demand Gen Blitz,2026-04-01,2026-06-30,Multi-channel lead generation push targeting mid-market B2B buyers.,Mid-market B2B prospects,18000,USD,#F97316
Spring Webinar Series,2026-03-15,2026-05-15,Educational webinar campaign focused on awareness and lead capture.,Marketing and RevOps leaders,7500,USD,#0EA5E9
Product Launch Countdown,2026-05-01,2026-05-31,"Short-run launch campaign with email, landing page, and paid support.",Existing leads and warm prospects,12000,USD,#8B5CF6
ABM Pilot - Healthcare,2026-04-10,2026-07-31,Account-based marketing pilot targeting healthcare decision-makers.,Healthcare executives,22000,USD,#10B981
Content Engine - AI Ops,2026-02-20,2026-06-20,Thought leadership campaign around AI operations and automation.,Operations and marketing teams,9500,USD,#F59E0B
Customer Re-Engagement,2026-03-01,2026-04-30,Win-back campaign for stalled and dormant contacts.,Dormant contacts,6800,USD,#EF4444
Regional Event Push - Austin,2026-06-01,2026-06-30,Local event awareness and registration campaign.,Austin area professionals,5400,USD,#14B8A6
Partner Co-Marketing Sprint,2026-07-01,2026-08-15,Joint campaign with a technology partner to generate shared leads.,Partner ecosystem prospects,11000,USD,#6366F1
Free Trial Conversion Drive,2026-04-05,2026-05-20,Nurture campaign aimed at improving free-trial to paid conversion.,Trial users,8900,USD,#EC4899
Thought Leadership Newsletter,2026-01-15,2026-12-31,Always-on campaign for monthly newsletter promotion and engagement.,Subscribers and prospects,4000,USD,#64748B
SEO Content Cluster Buildout,2026-02-01,2026-09-30,Content cluster buildout to improve organic visibility and assisted conversions.,Top-of-funnel search visitors,15000,USD,#22C55E
Holiday Promo Warmup,2026-10-15,2026-12-15,Seasonal promotional campaign with staged audience warmup.,Current customers and warm leads,13000,USD,#DC2626
